id,name,hours_of_game,recently_played,genres
20,Team Fortress Classic,0,no,Action 
15710,Oddworld: Abe's Exoddus,0,no,Adventure 
9480,Saints Row 2,0,no,Action 
1250,Killing Floor,1,no,Action 
35420,Killing Floor Mod: Defence Alliance 2,0,no,Action 
21670,Bionic Commando,0,no,Action Adventure 
47810,Dragon Age: Origins - Ultimate Edition,0,no,RPG 
47780,Dead Space 2,0,no,Action Adventure 
50300,Spec Ops: The Line,0,no,Action Adventure 
12120,Grand Theft Auto: San Andreas,1,no,Action 
12250,Grand Theft Auto: San Andreas,0,no,NA
55100,Homefront,0,no,Action 
96000,The Tiny Bang Story,0,no,Adventure Casual Indie 
105600,Terraria,623,no,Action Adventure Indie RPG 
20920,The Witcher 2: Assassins of Kings Enhanced Edition,6,no,RPG 
8980,Borderlands GOTY,2,no,Action RPG 
729040,Borderlands GOTY Enhanced,19,yes,Action RPG 
113200,The Binding of Isaac,99,yes,Action Adventure Indie RPG 
55230,Saints Row: The Third,0,no,Action 
3830,Psychonauts,0,no,Action 
202200,Galactic Civilizations II: Ultimate Edition,0,no,Indie Strategy 
67370,The Darkness II,0,no,Action 
201790,Orcs Must Die! 2,12,yes,Action Adventure Indie RPG Strategy 
209080,Guns of Icarus Online,2,no,Action Adventure Indie Simulation 
49520,Borderlands 2,18,no,Action RPG 
213610,Sonic Adventure™ 2 ,0,no,Action 
205100,Dishonored,21,no,Action Adventure 
57690,Tropico 4,0,no,Simulation Strategy 
219950,NiGHTS into Dreams...,0,no,Adventure 
113400,APB Reloaded,7,no,Action Free to Play Massively Multiplayer 
200210,Realm of the Mad God Exalt,4,no,Action Free to Play Indie Massively Multiplayer RPG 
212160,Vindictus,2,no,Action Adventure Free to Play Massively Multiplayer RPG 
218230,PlanetSide 2,0,no,Action Free to Play Massively Multiplayer 
1083500,PlanetSide 2 - Test,0,no,Action Free to Play Massively Multiplayer 
250420,8BitMMO,1,no,Action Adventure Free to Play Indie Massively Multiplayer RPG 
221040,Resident Evil 6,62,no,Action Adventure 
225260,Brütal Legend,0,no,Action Adventure Strategy 
8870,BioShock Infinite,0,no,Action 
225140,Duke Nukem 3D: Megaton Edition,4,no,NA
44350,GRID 2,0,no,Racing Sports 
3910,Sid Meier's Civilization III: Complete,0,no,Strategy 
215690,Zeno Clash 2,0,no,Action Indie 
65930,The Bureau: XCOM Declassified,0,no,Action 
35450,Rising Storm/Red Orchestra 2 Multiplayer,0,no,Action Massively Multiplayer Simulation 
99300,Renegade Ops,0,no,Action 
222480,Resident Evil Revelations,109,no,Action Adventure 
248820,Risk of Rain,0,no,Action Indie RPG 
253430,CastleMiner Z,1,no,Violent Action Adventure Indie 
22120,Penumbra: Black Plague,1,no,Action Adventure Indie 
22140,Penumbra: Requiem,1,no,Adventure Indie 
22180,Penumbra: Overture,1,no,Action Adventure Indie 
233130,Shadow Warrior,0,no,Action Adventure 
255520,Viscera Cleanup Detail: Shadow Warrior,0,no,Gore Indie Simulation 
258910,Citizens of Earth,0,no,RPG 
261110,Killer is Dead,0,no,Action 
252150,Grimm,0,no,Casual Indie 
262060,Darkest Dungeon®,8,no,Indie RPG Strategy 
262280,Dungeons 2,0,no,RPG Simulation Strategy 
262470,Rollers of the Realm,0,no,Action Adventure Casual Indie RPG 
37030,UFO: Extraterrestrials Gold,0,no,Strategy 
211820,Starbound,79,no,Action Adventure Casual Indie RPG 
367540,Starbound - Unstable,0,no,NA
248490,1953 - KGB Unleashed,0,no,Adventure Casual Indie 
268910,Cuphead,3,no,Action Indie 
269790,DreadOut,0,no,Adventure Indie 
235460,METAL GEAR RISING: REVENGEANCE,20,no,Action 
57300,Amnesia: The Dark Descent,0,no,Action Adventure Indie 
239200,Amnesia: A Machine for Pigs,0,no,Action Adventure Indie 
225840,Sven Co-op,1,no,Action Casual Free to Play Indie 
235210,Strider,0,no,Action Adventure 
254700,Resident Evil 4,38,no,Action Adventure 
282140,SOMA,0,no,Action Adventure Indie 
285160,LEGO® The Hobbit™,0,no,Action Adventure 
286570,F1 2015,0,no,Racing Sports 
286940,S.K.I.L.L. - Special Force 2,2,no,Action Adventure Free to Play Sports Strategy 
289800,Dracula: The Resurrection,4,no,Adventure Casual 
289820,Dracula 2: The Last Sanctuary,0,no,Adventure Casual 
289840,Dracula 3: The Path of the Dragon,0,no,Adventure Casual 
292410,Street Racing Syndicate,1,no,Racing 
261510,Tesla Effect,0,no,Adventure Indie 
292910,Deponia: The Complete Journey,0,no,Adventure 
296710,Monstrum ,3,no,Indie 
237930,Transistor,0,no,Action Indie RPG 
301190,Frederic: Resurrection of Music,0,no,Action Casual Indie 
108600,Project Zomboid,0,no,Indie RPG Simulation Early Access 
304050,Trove,1,no,Action Adventure Casual Free to Play Massively Multiplayer RPG 
304930,Unturned,2,no,Action Adventure Casual Free to Play Indie 
319510,Five Nights at Freddy's,3,yes,Indie Simulation 
238010,Deus Ex: Human Revolution - Director's Cut,0,no,Action RPG 
320300,Car Mechanic Simulator 2015,0,no,Racing Simulation 
265550,Dead Rising 3,1,no,Action 
214490,Alien: Isolation,0,no,Action 
238320,Outlast,0,no,Action Adventure Indie 
261640,Borderlands: The Pre-Sequel,0,no,Action RPG 
330830,Tales from the Borderlands,0,no,Adventure 
334920,Zero-K,0,no,Free to Play Indie Simulation Strategy 
335300,DARK SOULS™ II: Scholar of the First Sin,74,no,Action RPG 
250900,The Binding of Isaac: Rebirth,392,yes,Action 
304240,Resident Evil,0,no,Action Adventure 
346120,Boring Man - Online Tactical Stickman Combat,0,no,Action Free to Play Indie Massively Multiplayer 
307780,Mortal Kombat X,0,no,Action 
287290,Resident Evil Revelations 2,71,no,Action Adventure 
21690,Resident Evil 5,30,no,Action Adventure 
351640,Eternal Senia,2,no,Action Free to Play Indie RPG 
357500,Rumble Fighter: Unleashed,1,no,Action Free to Play 
367500,Dragon's Dogma: Dark Arisen,6,no,Action Adventure RPG 
367520,Hollow Knight,109,no,Action Adventure Indie 
219740,Don't Starve,1,no,Adventure Indie Simulation 
329050,Devil May Cry 4 Special Edition,0,no,Action 
371140,Aegis Defenders,0,no,Action Adventure Indie RPG Strategy 
322330,Don't Starve Together,942,yes,Adventure Indie Simulation 
374320,DARK SOULS™ III,78,no,Action 
375680,Apartment 666,1,no,Action Adventure Indie 
382850,Piercing Blow,7,no,NA
291550,Brawlhalla,1,no,Action Free to Play Indie 
389730,TEKKEN 7,37,no,Action Sports 
391540,Undertale,2,yes,Indie RPG 
397540,Borderlands 3,0,no,Action RPG 
236110,Dungeon Defenders II,131,no,Action Free to Play Indie RPG Strategy 
413150,Stardew Valley,114,no,Indie RPG Simulation 
280790,Creativerse,2,no,Action Adventure Casual Free to Play Indie Massively Multiplayer RPG Simulation 
339340,Resident Evil 0,38,no,Action Adventure 
